Flow_Zone,count,mean,std,min,50%,90%,95%,max
High,642.0,104.70967607736239,30.96212151370706,66.07104166666667,96.52018749999999,154.27600833333332,166.66237499999997,182.15541666666667
Low,642.0,25.53231931464175,9.530412241355716,8.873333333333335,25.198249999999998,38.81024583333334,40.23754166666666,41.93658333333334
Mid,428.0,53.404902550623085,7.1029895902621485,41.997083333333336,53.0811875,63.66818333333333,64.58652291666667,66.04583333333333
Very High,215.0,309.09557868217064,129.23788456258202,182.831,270.91900000000004,464.61479166666663,573.1114583333332,961.7483333333333
Very Low,213.0,5.0987345461658835,2.1507959486174553,1.467125,5.394583333333332,8.027341666666668,8.420591666666667,8.858208333333334
