Flow_Zone,count,mean,std,min,50%,90%,95%,max
High,642.0,59.999681334371736,16.018195292703822,38.644375000000004,56.587666666666664,84.48774583333332,91.19341458333332,98.26208333333334
Low,642.0,14.980323014018694,5.045523159082905,6.796166666666667,14.661166666666666,22.289208333333335,23.120579166666662,24.205041666666666
Mid,428.0,30.90956308411216,4.035151026854823,24.28066666666666,30.630645833333332,36.55208333333333,37.822331250000005,38.63429166666666
Very High,215.0,182.7134705426357,115.52960921677362,98.38308333333332,143.45558333333335,299.14225,402.47120833333327,1120.0566666666666
Very Low,213.0,3.9942308294209714,1.7052734431830983,0.9982500000000001,3.8064583333333335,6.288975000000001,6.568283333333333,6.776000000000001
